ID,gds,title,description,type,pubmed_id,gpl,platform_organism,platform_technology_type,feature_count,sample_organism,sample_type,channel_count,sample_count,value_type,gse,order,update_date,
863,GDS1390,Prostate cancer progression after androgen ablation,Analysis of prostate cancer progression following androgen ablation treatment. 10 treated androgen-independent primary prostate tumors compared to 10 untreated androgen-dependent primary  prostate tumors. Results provide insight into progression of prostate cancer to aggressive androgen-independent,Expression profiling by array,16203770,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,20,count,GSE2443,none,12/29/05,
864,GDS1392,Myelodysplastic syndrome,"Analysis of bone marrow CD34+ progenitor cells from normal-karyotype, low-blast-count, early, low-risk myelodysplastic syndrome (MDS) patients, age-matched controls, and patients with non-MDS anemia. Results provide insight into pathogenesis of MDS and identify putative markers of MDS.",Expression profiling by array,16076868,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,28,count,GSE2779,none,12/30/05,
865,GDS1393,Type 1 diabetes mellitus model of erectile dysfunction,Analysis of F344 penile cavernosal tissue after 10 weeks of streptozotocin (STZ)-induced Type 1 diabetes. Results provide insight into molecular events associated with pathophysiology of diabetes-induced erectile dysfunction (ED).,Expression profiling by array,16118269,GPL341,Rattus norvegicus,in situ oligonucleotide,15923,Rattus norvegicus,RNA,1,10,count,GSE2457,none,12/30/05,
866,GDS1394,D-penicillamine-induced autoimmunity model of idiosyncratic drug reactions,Analysis of Brown Norway males 6 hours after treatment with 150 mg/kg of D-penicillamine. Some rheumatoid arthritis patients treated with D-penicillamine develop idiosyncratic drug reactions (IDR). Results provide insight into mechanisms underlying IDR.,Expression profiling by array,16097792,GPL341,Rattus norvegicus,in situ oligonucleotide,15923,Rattus norvegicus,RNA,1,12,transformed count,GSE2825,none,12/30/05,
867,GDS1395,Viral infection: time course,Expression profiling of Oregon R males 24 and 48 hours after drosophila C virus infection. Results provide insight into the response of the innate immune system to viral infections.,Expression profiling by array,16086017,GPL72,Drosophila melanogaster,in situ oligonucleotide,14010,Drosophila melanogaster,RNA,1,12,transformed count,GSE2828,none,12/30/05,
868,GDS1396,Multipotent neural progenitor cells,Analysis of multipotent neural progenitor cells (NPCs) propagated by growth on media containing cystatin C and fibroblast growth factor-2. NPCs isolated from hippocampus neural stem cells. Results provide insight into the frequency of L1 element retrotransposition events in multipotent NPCs.,Expression profiling by array,15959507,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,20,count,GSE2499,none,8/23/06,
869,GDS1397,T cells infected with an HIV-based vector,Analysis of Jurkat T cells infected with an HIV-based vector transducing green fluorescent protein. Expression of genes hosting HIV integration events examined. Results provide insight into how expression from the HIV type 1 promoter is affected by the integration site of the provirus.,Expression profiling by array,15890899,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,9,count,GSE2504,none,8/22/06,
870,GDS1398,Coritical neuron response to inhalational anesthetics,Expression profiling of primary cortical neuron cultures exposed to 1 or 3% halothane or 4% isoflurane for 6 hours. Cells allowed to recover for an additional 6 hours. Results provide insight into effect of inhaled anesthetics on global gene expression.,Expression profiling by array,16495776,GPL890,Rattus norvegicus,in situ oligonucleotide,22575,Rattus norvegicus,RNA,2,12,log ratio,GSE2982,none,1/27/06,
871,GDS1399,DNA adenine methyltransferase and mismatch repair mutants,"Analysis of mutants lacking DNA adenine methyltransferase Dam, or mismatch repair protein MutS, or both. Results help elucidate the global changes resulting from Dam deficiency and the role of mismatch repair in producing these changes.",Expression profiling by array,16199573,GPL73,Escherichia coli K-12,in situ oligonucleotide,7312,Escherichia coli,RNA,1,12,transformed count,GSE2928,none,1/27/06,
872,GDS1400,Cisplatin effect on DNA adenine methyltransferase and mismatch repair mutants,"Analysis of mutants lacking DNA adenine methyltransferase Dam, or mismatch repair protein MutS, or both after treatment with cisplatin. dam mutants are hypersensitive to cisplatin, while dam mutS double mutants display wild type resistance to cisplatin.",Expression profiling by array,,GPL73,Escherichia coli K-12,in situ oligonucleotide,7312,Escherichia coli,RNA,1,24,transformed count,GSE2999,none,1/27/06,
873,GDS1401,CD34+ hematopoietic cells expanded in artificial matrix of fibrillar collagen I,"Analysis of CD34+ hematopoietic stem/progenitor cells (HSC) expanded for 7 days in an artificial matrix of fibrillar collagen I, the major matrix component of bone. Results provide insight into the limitations of ex vivo expansion to increase the number of transplantable HSCs from cord blood.",Expression profiling by array,16166251,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,6,count,GSE3003,none,1/27/06,
874,GDS1402,Various normal pure cell cultures,"Expression profiling of various pure normal epithelial, endothelial, fibroblast, stromal, and muscle cell cultures. Data provide baseline for understanding cellular mechanisms for maintenance of stable cell types and for studying pathways to terminally differentiated state.",Expression profiling by array,,GPL1449,Homo sapiens,spotted oligonucleotide,19881,Homo sapiens,RNA,1,61,count,GSE3239,none,1/27/06,
875,GDS1404,Regenerating retina: time course,Expression profiling of lesioned retina at various time points up to 14 days after injury. Results provide insight into the molecular mechanisms that enable the regeneration of injured retinas in adult anamniotes.,Expression profiling by array,16205622,GPL1319,Danio rerio,in situ oligonucleotide,15617,Danio rerio,RNA,1,12,count,GSE3303,none,9/19/06,
876,GDS1405,Pulmonary type II cell differentiation,Analysis of epithelial cells isolated from 13 fetal lungs (13-20 wks old) and cultured in dexamethasone/cyclic AMP/isobutylmethylxanthine (DCI) for 72 hrs to promote type II cell differentiation. Mature alveolar type II cells that produce surfactant are critical for adaptation to extrauterine life.,Expression profiling by array,"1,647,409,916,997,880",GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,10,count,GSE3306,none,9/19/06,
877,GDS1406,Brain regions of various inbred strains,"Analysis of 7 brain regions of 6 inbred strains. 7 week old males from 129S6/SvEvTac, A/J, C3H/HeJ, C57BL/6J, DBA/2J, and FVB/NJ strains examined. Results correlated with behavioral phenotypes and identify candidate genes for anxiety-like behavior.",Expression profiling by array,16244648,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,87,count,GSE3327,none,4/3/06,
878,GDS1407,Leukocyte inflammatory responses to lipopolysaccharide,Analysis of whole blood following 4 hour treatment with lipolysaccharide (LPS). Leukocytes from individuals with high and low responses to LPS examined. LPS response assessed by measuring cytokine production. Results provide insight into the variability of LPS responses between individuals.,Expression profiling by array,16081831,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Homo sapiens,RNA,1,12,transformed count,GSE3491,none,4/3/06,
879,GDS1408,Auxin response factors ARF6 and ARF8,"Analysis of stage 1-14 flowers from wild type Columbia, arf6/arf6 ARF8/arf8, and arf6 arf8 plants after 30 minute treatment with 10 uM indole-3-acetic acid (IAA). Results provide insight into early flower development and identify genes that respond rapidly to auxin in an ARF6/ARF8-dependent manner.",Expression profiling by array,16107481,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,7,count,GSE2847,none,4/3/06,
880,GDS1409,cAMP/protein kinaseA effect on cell-cycle regulation: timecourse,"Analysis of wild type and Kin- S49 lymphoma cell line treated with 8-(4-chlorophenylthio)-cAMP (8-CPT-cAMP), a PKA-selective cAMP analog, for 2, 6, or 24 hours. Kin- S49 cells lack protein kinase A (PKA). Results identify the global impact of cAMP/PKA on transcriptional networks, particularly the ce",Expression profiling by array,15939874,GPL339,Mus musculus,in situ oligonucleotide,22690,Mus musculus,RNA,1,26,transformed count,GSE2413,none,4/3/06,
881,GDS1411,HCaRG overexpression in kidney cells,"Analysis of HCaRG9, a stably-transfected HEK293 embryonal kidney cell line over-expressing the hypertension-related, calcium-regulated gene (HCaRG). Results identify a role for HCaRG in kidney repair involving increased renal cell migration and transforming growth factor-alpha (TGF-α) expression.",Expression profiling by array,16033922,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,4,count,GSE2555,none,4/3/06,
882,GDS1412,Hormone replacement therapy effect on whole blood,Comparison of whole blood samples from 42 postmenopausal women on hormone replacement therapy (HRT) to those of 47 postmenopausal women not on HRT. Subjects are part of the Norwegian Women and Cancer Study (NOWAC).,Expression profiling by array,16648556,GPL887,Homo sapiens,in situ oligonucleotide,22575,Homo sapiens,RNA,2,89,log10 ratio,GSE3492,none,1/27/06,
883,GDS1413,Lipid peroxidation product 4-hydroxy-2-nonenal effect on cells: time course,Analysis of RKO colorectal carcinoma cell line at 6 and 24 hours following exposure to subcytotoxic and cytotoxic amounts of 4-hydroxy-2-nonenal (HNE). HNE is an abundant product of polyunsaturated fatty acid oxidation and decomposition and reacts extensively with DNA and proteins.,Expression profiling by array,16300372,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,24,count,GSE2397,none,4/3/06,
884,GDS1414,Candoxin effect on glial cells: time course,"Analysis of glial cell line Hs683 at various time points up to 48 hours following exposure to 300 nM of candoxin (CDX) snake venom. CDX is a neurotoxin that inhibits post-synaptic neuromuscular and neuronal alpha7nACh-receptors, and delays cell death in glial cells.",Expression profiling by array,16309724,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,12,count,GSE1682,none,4/3/06,
885,GDS1419,Classical Hodgkin's lymphoma: T cell expression profile,Expression profiling of CD3+ T cells isolated from peripheral blood samples of untreated patients with classical Hodgkin's lymphoma. CD3+ T cells from healthy donors and patients with sarcoidosis also examined.,Expression profiling by array,,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Homo sapiens,RNA,1,6,count,GSE2657,none,4/3/06,
886,GDS1421,Regular exercise effect on heart,"Analysis of left heart ventricle of Sprague Dawley males without access to exercise, with access to hour-long twice a week of activity, or with access to a running wheel every other day. Regimen imposed from 3 weeks until 16 months of age. Results identify putative markers of cardiovascular health.",Expression profiling by array,16002099,GPL1355,Rattus norvegicus,in situ oligonucleotide,31099,Rattus norvegicus,RNA,1,12,count,GSE2690,none,4/3/06,
887,GDS1422,Parous mammary gland response to N-methyl-N-nitrosourea,"Analysis of mammary gland from parous or virgin Lewis animals 3 weeks after treatment with 50 mg/kg of N-methyl-N-nitrosourea, a carcinogen. Full-term pregnancy early in life is associated with a reduced chance of developing breast cancer.",Expression profiling by array,16525678,GPL890,Rattus norvegicus,in situ oligonucleotide,22575,Rattus norvegicus,RNA,1,4,count,GSE2726,none,4/5/06,
888,GDS1423,Lunasin effect on prostate epithelial cells,Expression profiling of normal prostate epithelial RWPE1 cells and tumorigenic prostate cancer RWPE2 cells treated with 2 uM lunasin for 24 hours. Lunasin is a soybean peptide shown to suppress carcinogenesis. Results provide insight into the chemopreventive properties of lunasin.,Expression profiling by array,,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,4,count,GSE2992,none,4/5/06,
889,GDS1424,Folic acid deficiency effect on colon cancer cells,Analysis of HT-29 colon cancer cells cultured in pteroylglutamic acid or methyl-tetrahydrofolate at concentrations of 10 or 100 ng/ml each. Studies suggest that folate deficiency can have an inhibitory effect on the progression of established colonic tumor cells.,Expression profiling by array,,GPL2721,Homo sapiens,spotted oligonucleotide,10296,Homo sapiens,RNA,2,22,transformed count,GSE3099,none,4/5/06,
890,GDS1427,c-Myb and oncogenic variant v-Myb transcriptional activities,"Analysis of monocytes infected with adenovirus expressing c-Myb or its oncogenic variant v-Myb, a mutated (11 AA substitutions) and truncated (N- and C-termini) version of c-Myb. Results identify dramatic, qualitative changes in the transcriptional acitivity of c-Myb caused by oncogenic mutations.",Expression profiling by array,16205643,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,6,count,GSE2816,none,4/5/06,
891,GDS1429,Various anti-cancer drugs effect on liver: time course and dose-response,"Analysis of livers of Sprague-Dawley males treated with the anticancer drug carmustine, methotrexate, or thioguanine. Animals treated daily with various doses and livers examined at various time points up to 5 days. Results combined with clinical pathology assessments in a chemogenomics database.",Expression profiling by array,16005536,GPL1820,Rattus norvegicus,spotted oligonucleotide,8565,Rattus norvegicus,RNA,1,69,transformed count,GSE2409,none,4/6/06,
892,GDS1431,Olfactory bulbectomy effect on olfactory eptithelium: time course,Analysis of the olfactory epithelium at various time points up to 5 days following olfactory bulbectomy. Olfactory bulbectomy performed to force the replacement of olfactory sensory neurons. Results provide insight into the cellular events involved in olfactory neurogenesis.,Expression profiling by array,16027002,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,15,count,GSE2437,none,4/6/06,
893,GDS1434,Transcription factor p63 null mutation effect on skin (MG-U74A),"Analysis of skin from transcription factor p63 homozygous null mutants at embryonic age E18.5. Without p63, the epidermis fails to commit to stratification, resulting in aborted skin development. Results identify p63 target genes and provide insight into early events in epidermal morphogenesis.",Expression profiling by array,16324689,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,4,count,GSE3108,none,4/6/06,
894,GDS1435,Transcription factor p63 null mutation effect on skin (MG-U74B),"Analysis of skin from transcription factor p63 homozygous null mutants at embryonic age E18.5. Without p63, the epidermis fails to commit to stratification, resulting in aborted skin development. Results identify p63 target genes and provide insight into early events in epidermal morphogenesis.",Expression profiling by array,16324689,GPL82,Mus musculus,in situ oligonucleotide,12477,Mus musculus,RNA,1,4,count,GSE3108,none,4/6/06,
895,GDS1436,Cigarette smoking effect on alveolar macrophages,Anlaysis of alveolar macrophages of 5 phenotypically normal smokers who consume ~20 packs cigarettes/year. Smoking is the leading cause of respiratory diseases collectively known as chronic obstructive pulmonary disease (COPD). Provides insight into early events in molecular pathogenesis of COPD.,Expression profiling by array,16520944,GPL80,Homo sapiens,in situ oligonucleotide,7129,Homo sapiens,RNA,1,10,count,GSE3212,none,4/6/06,
896,GDS1438,Kidneys removed by laparoscopic donor nephrectomy,"Analysis of kidneys removed by laparoscopic donor nephrectomy (LDN), a minimally invasive procedure that involves several hours of carbon dioxide pneumoperitoneum. Renal cortices of kidneys recovered by LDN compared to those removed by open donor nephrectomy.",Expression profiling by array,16278587,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,12,count,GSE3297,none,4/6/06,
897,GDS1439,Prostate cancer progression,"Expression profiling of prostate cancer tumors that are benign, clinically localized, or metastatic and refractory to hormones. Results compared to those obtained from immunoblotting to identify concordant changes in mRNA and protein levels.",Expression profiling by array,16286247,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,19,count,GSE3325,none,4/6/06,
898,GDS1440,Melanoma cell lines treated with a DNA methylase inhibitor,"Analysis of a poorly tumorigenic melanoma cell line and its 3 highly aggressive derivative lines after treatment with 2'-deoxy-5-azacytidine (DAC), a DNA methyltransferase inhibitor. Results suggest multiple markers for melanoma progression that are regulated by DNA methylation.",Expression profiling by array,15958521,GPL80,Homo sapiens,in situ oligonucleotide,7129,Homo sapiens,RNA,1,6,count,GSE1793,none,4/6/06,
899,GDS1442,PPARα  agonist ciprofibrate effect on liver,Analysis of primate livers exposed to ciprofibrate at various doses for 4 or 15 days. Peroxisome proliferator-activated receptor-α (PPARα) agonists such as ciprofibrate cause hepatocarcinogenesis in rodents but not in primates. Results identify species differences in response to PPARα agonist.,Expression profiling by array,16081524,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Macaca fascicularis,RNA,1,23,count,GSE2853,none,4/6/06,
900,GDS1443,Type 2 diabetes susceptibility: role of hepatic lipogenic capacity,"Analysis of adipose tissue, liver, skeletal muscle, and pancreatic islets from non-diabetic (C57BL/6J (B6)) and severely diabetic (BTBR) strains of obese (ob/ob), 14 week old males.  Results correlate increased hepatic lipogenic gene expression in B6-ob/ob with type 2 diabetes resistance.",Expression profiling by array,12606510,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,16,count,GSE2899,none,4/6/06,
901,GDS1444,Obesity and type 2 diabetes: role of adipogenic gene expression (Mu11K-A),"Analysis of lean (C57BL/6J (B6), BTBR, F1 (B6xBTBR)), obese (B6-ob/ob), and obese-diabetic (F2 (B6xBTBR)-ob/ob [increasingly hyperglycemic], BTBR-ob/ob [severely diabetic]) strains. Results identify decreased adipogenic gene expression in obesity and further changes in the progression to diabetes.",Expression profiling by array,11027337,GPL75,Mus musculus,in situ oligonucleotide,6584,Mus musculus,RNA,1,11,count,GSE2952,none,4/6/06,
902,GDS1445,Transcription factor Oct-1 deficient fibroblast response to ionizing radiation (430A),Expression profiling of Oct-1 deficient 3T3-immortalized embryonic fibroblasts exposed to gamma radiation. Oct-1 is a POU domain transcription factor. Results provide insight into the role of Oct-1 in the adaptation to cellular stress.,Expression profiling by array,16322220,GPL339,Mus musculus,in situ oligonucleotide,22690,Mus musculus,RNA,1,16,transformed count,GSE2084,none,4/6/06,
903,GDS1446,Transcription factor Oct-1 deficient fibroblast response to ionizing radiation (430B),Expression profiling of Oct-1 deficient 3T3-immortalized embryonic fibroblasts exposed to gamma radiation. Oct-1 is a POU domain transcription factor. Results provide insight into the role of Oct-1 in the adaptation to cellular stress.,Expression profiling by array,16322220,GPL340,Mus musculus,in situ oligonucleotide,22575,Mus musculus,RNA,1,16,transformed count,GSE2084,none,4/6/06,
904,GDS1447,Bronchial epithelial cell response to vanadium and zinc,"Analysis of bronchial epithelial cells after 4 hours of exposure to 50 uM vanadium (V) or zinc (Zn). Excessive V and Zn in the air can arise from the burning of heavy fuel and during welding and smelting operations, respectively. Results identify biomarkers that distinguish V from Zn exposure.",Expression profiling by array,16330358,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,12,count,GSE2111,none,4/6/06,
905,GDS1448,Anoxia and sucrose effect on seedlings,Analysis of ecotype Columbia glabra seedlings subjected to anoxia for 6 hours in the presence or absence of 90 uM sucrose. Exogenous sucrose enhances the tolerance of seedlings to anoxia. Results identify candidate genes that enhance the tolerance of sucrose treated seedlings to anoxia.,Expression profiling by array,15734908,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,6,count,GSE2133,none,4/6/06,
906,GDS1449,HIV-1 infection effect on peripheral blood mononuclear cells,"Analysis of peripheral blood mononuclear cells from HIV-1 seropositive and seronegative individuals. Results used to identify a 10-gene signature used for determining HIV-1 serostatus, and a 6-gene signature to identify seropositive individuals exhibiting changes in CD4+ T cell counts.",Expression profiling by array,15897992,GPL201,Homo sapiens,in situ oligonucleotide,8793,Homo sapiens,RNA,1,87,count,GSE2171,none,4/17/06,
907,GDS1450,Hypoxia effect on seedlings,Expression profiling of 7 day old wild type Ler seedlings subjected to 12 hours of hypoxia under low light conditions. Total RNA and mRNA extracted from large polyribosomes  compared. Results provide insight into the role of translational regulation in the response to hypoxia.,Expression profiling by array,16081496,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,4,count,GSE2218,none,4/6/06,
908,GDS1451,Toxicants effect on liver: pooled and individual sample comparison,"Analysis of livers of Sprague-Dawley males at various time points up to 168 hours after treatment with clofibrate, diethylhexylphthalate, or valproic acid. Expression profiles from pooled and individual samples compared. Results provide insight into the impact of pooling on experimental analysis.",Expression profiling by array,15914576,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,94,count,GSE2303,none,4/6/06,
909,GDS1452,Mammary gland response to retinoic X receptor ligand: pooled and individual sample comparison,Analysis of mammary glands from Wistar Furth females fed a diet supplemented with the retinoic X receptor ligand LG100268. Expression profiles from pooled and individual samples compared. Results provide insight into the impact of pooling on experimental analysis.,Expression profiling by array,15755808,GPL341,Rattus norvegicus,in situ oligonucleotide,15923,Rattus norvegicus,RNA,1,56,transformed count,GSE2331,none,4/17/06,
910,GDS1453,Camptothecin effect on renal epithelial cell line and HIV transduction,"Analysis of renal epithelial cell line 293T following treatment with 2 uM camptothecin, which boosts transduction of cells by HIV. Camptothecin induces DNA damage and arrests cell cycle at G2/M. Results provide insight into the mechanisms underlying HIV transduction boost induced by camptothecin.",Expression profiling by array,15827184,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,4,count,GSE2451,none,4/17/06,
911,GDS1455,Motoneuron characterization,Analysis of lateral and medial motoneurons (MNs) from lumbar segments and sympathetic preganglionic motoneurons located in the thoracic intermediolateral nucleus. MNs isolated by laser capture microdissection. Results provide insight into the molecular differences between adult MN types.,Expression profiling by array,16317082,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,30,count,GSE2595,none,4/17/06,
912,GDS1456,Obesity and type 2 diabetes: role of adipogenic gene expression (Mu11K-B),"Analysis of lean (C57BL/6J (B6), BTBR, F1 (B6xBTBR)), obese (B6-ob/ob), and obese-diabetic (F2 (B6xBTBR)-ob/ob [increasingly hyperglycemic], BTBR-ob/ob [severely diabetic]) strains. Results identify decreased adipogenic gene expression in obesity and further changes in the progression to diabetes.",Expression profiling by array,11027337,GPL76,Mus musculus,in situ oligonucleotide,6595,Mus musculus,RNA,1,11,count,GSE2952,none,4/6/06,
913,GDS1464,Essential hypertension SHR model,"Comparison of adrenal gland from spontaneously hypertensive (SHR) males at 4 weeks of age, a prehypertensive stage, and normotensive Wistar-Kyoto. Results compared to gene expression in hypertensive BPH mouse model, and provides insight into mechanisms of hypertension shared across species.",Expression profiling by array,15882546,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,6,count,GSE1675,none,4/13/06,
914,GDS1465,IFN-gamma and host genetic background effect on Yersinia enterocolitica infected macrophages,"Analysis of bone marrow derived macrophages from resistant C57BL/6 or susceptible BALB/c animals, with or without IFN-gamma pretreatment, infected with Yersinia enterocolitica. Results provide insight into the impact of host genetic background and IFN-gamma on Y. enterocolitica infections.",Expression profiling by array,16352694,GPL339,Mus musculus,in situ oligonucleotide,22690,Mus musculus,RNA,1,37,count,GSE2973,none,8/22/06,
915,GDS1466,DICER-LIKE 4 mutant,Analysis of rosette leaf and inflorescence tissues from the DICER-LIKE (DCL) 4 mutant dcl4-2. DCL genes have specialized functions in small RNA biogenesis for RNA interference-related processes. Results provide insight into the role of DCL4 in the trans-acting siRNA pathway.,Expression profiling by array,16129836,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,27,transformed count,GSE3011,none,8/21/06,
916,GDS1467,TGF-beta-activated kinase 1 deficient B cell response to B cell receptor stimulation,Analysis of TGF-beta activated kinase 1 (TAK1)-deficient B cells following B cell receptor (BCR) activation by anti-IgM treatment for 4 hours. Results provide insight into how TAK1 regulates BCR-mediated proliferative responses.,Expression profiling by array,16186825,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,4,count,GSE3065,none,8/23/06,
917,GDS1468,Neuromuscular degeneration mutant spinal cord response to neural stem cell transplantation,Analysis of neuromuscular degeneration mutant (nmd) spinal cords transplanted with ALDHhiSSClo neural stem cells. nmd is a model for spinal muscular atrophy with respiratory distress type 1. Results provide insight into the mechanisms underlying neuromuscular improvements in stem cell recipients.,Expression profiling by array,16339214,GPL339,Mus musculus,in situ oligonucleotide,22690,Mus musculus,RNA,1,9,count,GSE3075,none,8/23/06,
918,GDS1469,Oxidative stress effect on pyocin expression,"Expression profiling of strain PA01 exposed to hydrogen peroxide, a reactive oxygen species, at a sublethal concentration of 1 mM. Results identify upregulation of pyocin (bacteriocin) genes as a potentially novel defensive scheme in response to oxidative attack by infected host cells.",Expression profiling by array,16150148,GPL84,Pseudomonas aeruginosa,in situ oligonucleotide,5900,Pseudomonas aeruginosa PAO1,RNA,1,9,count,GSE3090,none,4/17/06,
919,GDS1472,Transcription factor Spotted-dick knockdown,"Expression profiling of cultured S2 cells following inactivation of spotted-dick, a gene encoding a zinc finger transcriptional activator of S phase genes. RNAi used to inactivate spotted-dick. Results identify potential downstream targets of Spotted-dick.",Expression profiling by array,16369566,GPL1322,Drosophila melanogaster,in situ oligonucleotide,18952,Drosophila melanogaster,RNA,1,6,count,GSE2623,none,4/14/06,
920,GDS1473,Transcription factor Tcf1 knockout effect on pancreatic islets (MG-U74A),Analysis of pancreatic islets from 6 to 8 week old Tcf1 knockouts. Mutations in Tcf1 lead to a subtype of type 2 diabetes called maturity-onset diabetes of the young (MODY) in humans. Results identify potential targets of Tcf1 that may be responsible for mediating pancreatic beta cell growth.,Expression profiling by array,16330324,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,4,count,GSE3544,none,4/14/06,
921,GDS1474,Transcription factor Tcf1 knockout effect on pancreatic islets (MG-U74B),Analysis of pancreatic islets from 6 to 8 week old Tcf1 knockouts. Mutations in Tcf1 lead to a subtype of type 2 diabetes called maturity-onset diabetes of the young (MODY) in humans. Results identify potential targets of Tcf1 that may be responsible for mediating pancreatic beta cell growth.,Expression profiling by array,16330324,GPL82,Mus musculus,in situ oligonucleotide,12477,Mus musculus,RNA,1,4,count,GSE3544,none,4/14/06,
922,GDS1475,Rho/CRIK signaling modulation effect on keratinocyte,"Analysis of keratinocytes expressing activated Rho or Citron kinase (CRIK), or treated with C3 transferase. Rho plays a positive role during early differentiation, CRIK is a Rho effector, and C3 is a Rho inhibitor. Results provide insight into the role of Rho/CRIK in later stages of differentiation.",Expression profiling by array,16061799,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,10,count,GSE3162,none,8/23/06,
923,GDS1476,Uterine fibroids with fumarate hydratase mutations,Analysis of 7 uterine fibroids carrying fumarate hydratase (FH) mutations. FH catalyzes hydration of fumarate in the Krebs tricarboxylic acid cycle. Results provide insight into the connection between the disruption of mitochondrial metabolic pathways and neoplasia.,Expression profiling by array,16319128,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,22,count,GSE2152,none,4/14/06,
924,GDS1477,Transcription factor FoxM1 inactivation effect on breast cancer cell,"Expression profiling of BT-20 breast cancer cells 48 hours after transfection with FoxM1 siRNA. Elevated expression of FoxM1 has been observed in hepatocellular carcinoma, basal cell carcinoma, and breast cancer. Results provide insight into the role of FoxM1 in cancer cell growth.",Expression profiling by array,15958562,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,9,count,GSE2222,none,4/14/06,
925,GDS1478,Intestinal epithelial cell response to probiotic Escherichia coli strain Nissle 1917,Analysis of Caco-2 intestinal epithelial cells cocultured for 6 hours with the probiotic Escherichia coli strain Nissle 1917 (EcN). A controlled clinical trial suggests that EcN is effective in remission maintenance of ulcerative colitis. Results provide insight into EcN-host interactions.,Expression profiling by array,16351713,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,4,count,GSE2232,none,4/14/06,
926,GDS1479,Carcinoma in situ lesions of the urinary bladder,Analysis of bladder biopsies of superficial transitional cell carcinomas with or without surrounding carcinoma in situ (CIS) lesions and muscle invasive carcinomas (mTCC). CIS is a common mTCC precursor. Results provide insight into which tumors in early stage bladder cancer are likely to progress.,Expression profiling by array,15173019,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,60,count,GSE3167,none,8/21/06,
927,GDS1480,Obesity: preadipocyte expression profile (HG-U133A),Analysis of cultured abdominal subcutaneous preadipocytes from 7 male and 7 female non-diabetic obese Pima Indians. The prevalence of obesity in Pima Indians is among the highest of any population. Results provide insight into the role of preadipocytes in obesity and obesity-related inflammation.,Expression profiling by array,16034612,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,28,count,GSE2510,none,4/14/06,
928,GDS1481,Obesity: preadipocyte expression profile (HG-U133B),Analysis of cultured abdominal subcutaneous preadipocytes from 7 male and 7 female non-diabetic obese Pima Indians. The prevalence of obesity in Pima Indians is among the highest of any population. Results provide insight into the role of preadipocytes in obesity and obesity-related inflammation.,Expression profiling by array,16034612,GPL97,Homo sapiens,in situ oligonucleotide,22645,Homo sapiens,RNA,1,28,count,GSE2510,none,4/14/06,
